#{"t_start": 1652661317.3871212, "env_id": "NovelGridworld-v0"}
r,l,t
278,10,43.089533
390,20,43.128532
219,10,43.151532
281,9,43.169533
281,9,43.189533
278,10,43.210531
278,10,43.243533
219,10,43.265533
284,8,43.283533
222,9,43.302533
278,10,43.322533
278,10,43.342533
278,10,43.362532
281,9,43.384532
387,21,43.422532
281,9,43.440532
284,8,43.456532
278,10,43.479532
281,9,43.497533
278,10,43.517532
222,9,43.533533
284,8,43.554533
284,8,43.571532
278,10,43.591532
222,9,43.607533
275,11,43.632531
284,8,43.649533
281,9,43.668531
278,10,43.689532
222,9,43.707532
281,9,43.729533
219,10,43.749534
284,8,43.763533
387,21,43.804532
387,21,43.850532
281,9,43.865533
222,9,43.884533
387,21,43.928532
222,9,43.947532
390,20,43.989533
281,9,44.008533
222,8,44.026533
222,9,44.042533
214,11,44.069533
284,8,44.084531
-4941,1362,46.801399
219,9,46.8164
281,9,46.8384
390,20,46.878401
281,9,46.897401
219,10,46.9194
219,10,46.941401
219,10,46.9604
222,9,46.9794
222,8,46.9934
222,9,47.014401
219,9,47.0334
219,10,47.0524
219,10,47.0764
222,9,47.0954
281,9,47.1134
278,10,47.133399
278,10,47.1564
281,9,47.1714
297,17,47.2054
222,9,47.2274
281,9,47.242401
281,9,47.260401
300,16,47.3044
387,21,47.352399
278,10,47.372401
216,11,47.3984
390,20,47.4384
219,10,47.457401
281,9,47.4754
281,9,47.493399
308,17,47.5284
278,10,47.5474
281,9,47.569398
219,10,47.589399
275,11,47.6084
281,9,47.627398
278,10,47.6504
222,9,47.6654
278,10,47.685401
278,10,47.705401
278,10,47.7244
278,10,47.748399
219,10,47.768399
278,10,47.789401
222,9,47.808401
281,9,47.8314
278,10,47.8514
281,9,47.869399
281,9,47.8874
281,9,47.9054
387,21,47.948399
278,10,47.9684
281,9,47.9864
284,8,48.0034
275,11,48.0244
281,9,48.0424
281,9,48.060401
284,8,48.0774
281,9,48.0964
278,10,48.1154
281,9,48.1344
278,10,48.1544
278,10,48.1774
303,15,48.2054
278,10,48.2254
222,9,48.2444
278,10,48.2684
281,9,48.2884
281,9,48.304399
219,10,48.3274
256,18,48.3654
281,9,48.383399
278,10,48.408399
281,9,48.427399
219,10,48.447403
390,20,48.494399
281,9,48.509399
222,9,48.5284
390,20,48.5704
387,21,48.611399
281,9,48.6304
281,9,48.6484
278,10,48.6714
281,9,48.6904
222,9,48.7084
222,9,48.723399
250,18,48.7624
278,10,48.7824
284,8,48.8004
216,10,48.8194
281,9,48.8384
387,21,48.8814
272,12,48.9044
390,20,48.9464
387,21,48.9864
281,9,49.0054
300,16,49.0374
