#{"t_start": 1615009006.4983943, "env_id": "NovelGridworld-v0"}
r,l,t
36,15,17.092123
45,6,17.099336
49,2,17.102384
39,12,17.116009
48,3,17.119663
38,13,17.137306
43,8,17.14815
50,1,17.150195
44,7,17.159081
46,5,17.163337
48,3,17.16617
39,12,17.17737
50,1,17.17916
43,8,17.188618
40,11,17.209543
48,3,17.212632
47,4,17.216704
48,3,17.238583
43,8,17.246355
46,5,17.252198
44,7,17.259705
41,10,17.267838
46,5,17.27289
44,7,17.280468
46,5,17.286586
43,8,17.296337
49,2,17.299258
34,17,17.320188
48,3,17.324413
48,3,17.329057
30,21,17.355935
25,26,17.379662
41,10,17.408343
50,1,17.409994
45,6,17.4168
46,5,17.423512
45,6,17.432497
37,14,17.45103
44,7,17.460782
48,3,17.463754
47,4,17.467481
36,15,17.486361
46,5,17.493104
44,7,17.502968
45,6,17.511687
49,2,17.515457
6,45,17.585817
44,7,17.592702
43,8,17.600953
29,22,17.627341
34,17,17.646149
42,9,17.656974
50,1,17.658571
40,11,17.669338
46,5,17.675678
46,5,17.682788
50,1,17.684973
46,5,17.692075
42,9,17.705455
43,8,17.717762
37,14,17.758524
33,18,17.775722
44,7,17.783699
49,2,17.78662
42,9,17.797569
41,10,17.809429
41,10,17.822955
45,6,17.832246
47,4,17.839044
42,9,17.853009
34,17,17.869561
43,8,17.883584
48,3,17.88727
43,8,17.896161
48,3,17.900684
48,3,17.904724
41,10,17.935465
49,2,17.938014
48,3,17.941349
50,1,17.94273
47,4,17.946323
47,4,17.950024
49,2,17.952718
46,5,17.958562
42,9,17.966247
50,1,17.967577
50,1,17.969066
36,15,17.984549
50,1,17.986746
43,8,17.997932
45,6,18.006756
47,4,18.013121
40,11,18.032766
46,5,18.037172
40,11,18.047192
43,8,18.056261
44,7,18.063872
37,14,18.077846
42,9,18.106698
48,3,18.109971
45,6,18.115715
46,5,18.12214
43,8,18.132256
43,8,18.143183
47,4,18.148112
42,9,18.166174
46,5,18.171474
46,5,18.176189
42,9,18.183877
47,4,18.188761
18,33,18.224033
48,3,18.229176
49,2,18.233025
37,14,18.245522
41,10,18.274485
49,2,18.276687
47,4,18.28073
49,2,18.283535
47,4,18.28807
47,4,18.296425
49,2,18.298844
44,7,18.305014
49,2,18.307087
40,11,18.317784
45,6,18.324657
50,1,18.326341
49,2,18.328978
44,7,18.33717
47,4,18.342184
47,4,18.346515
49,2,18.349057
45,6,18.356982
36,15,18.375731
-17,68,18.479172
42,9,18.490522
38,13,18.507594
43,8,18.519078
39,12,18.537737
49,2,18.541223
44,7,18.551254
44,7,18.560886
44,7,18.573536
49,2,18.575702
46,5,18.580361
46,5,18.585798
50,1,18.587455
36,15,18.603431
47,4,18.608175
45,6,18.63371
48,3,18.63719
44,7,18.644025
48,3,18.648015
47,4,18.653003
50,1,18.654827
35,16,18.668402
45,6,18.674116
48,3,18.677985
47,4,18.682904
46,5,18.6892
50,1,18.691236
44,7,18.706218
48,3,18.709698
46,5,18.714103
44,7,18.720031
42,9,18.728729
45,6,18.736097
49,2,18.73901
22,29,18.771704
47,4,18.797485
43,8,18.806174
48,3,18.809869
49,2,18.812407
